Cluster ID , Title , Volume , Scribe (Schlüter) , Scribe (Duncan) 
 1 , Cellach Húa Rúanada sluindfet dúib dagaisti in dana ,  1 , T , T1 
 1 , Connachta cid dia tá in t-ainm ,  1 , T , T1 
 1 , Dallán mac Móre Cormac Femin Fogertach ,  1 , A + T + 2 , T2 (over A) 
 1 , Dubthach hua Lugair Andsu immarbáig ri Lagnib ,  1 , A , A 
 1 , Fland Fína Ro ddet a hInis find Fáil ,  1 , A , A 
 1 , Gilla na Naem Hua Duind Cuiced Lagen na lecht ríg , 1 , A , A 
 1 , Guidim Comdid cumachtach ,  1 , A , A 
 2 , Augaine Már mac ríg Hérend ,  1 , A(?) , A  
 2 , Cathcharpat serda ,  4 , A , A 
 2 , Dían airing ,  1 , T , T1 
 2 , Fland Manistrech Cia triallaid nech aisnis , 4 , U , U 
 2 , Mael Muru Othna Can a mbunadas na nGaedel ,  3 , U , U 
 2 , Túathal Techtmar ba rí Temrach ,  1 , A(?) , A 
 3 , Fland Fina in rigan ecanaid óg fíal ,  3 , U , A + U 
 4 , Diarmait mac Cerbaill mairg thocheas rí clerchib ceil ,  3 , U , U 
 5 , Buí siur Mo Lassi Lethglinni oc légund i fail Mo Lasse ,  5 , F , F 
 5 , Cinaed úa hArtacain a cholch thall for elaid úair ,  3 , U , U 
 5 , Cóica epscop dodeochatar dochum Moedoc Ferna do Bretnaib Cille Muine ,  5 , F , F 
 5 , De Gabail intSida ,  5 , F , F 
 5 , Epscop do Gaedelaib dochoid do Róim ,  5 , F , F 
 5 , Fechtas dósom oc ernaigthi ina eclais ,  5 , (F?) , F 
 5 , Longes Chonaill Chuirc ,  5 , F , F 
 5 , Luid Mael Ruain Tamlachta fechtas dia airge ,  5 , F , F 
 5 , Maiccni Echach ard a ṅgle ,  3 , U , U 
 5 , Nuallguba Emire ,  2 , U , U 
 6 , A ben bennacht fort na raid ,  5 , F , F 
 7 , Aided Cheltchair meic Uthechair ,  2 , U , U 
 7 , Aided Choncobuir ,  2 , U , U 
 7 , Aided Derb Forgaill ,  2 , U , U 
 7 , Aided Guill meic Carbada ⁊ Aided Gairb Glinne Rigi ,  2 , U , U  
 7 , Aided Meidbe ,  2 , U , U
 7 , Aigidecht Aithirne , 2 , U , U
 7 , Aní doronsat do chalmu clanna Eogain ,  4 , U , U 
 7 , Baí rí amra de Grécaib Salemón a ainm ,  5 , F , F  
 7 , Beochobra Con Culaind isind ló fúair bás ,  2 , U , U 
 7 , Birth of Brendan ,  6 , A , A 
 7 , Brislech Mór Maige Muirthemni ,  2 , U , U 
 7 , Cethrur macclerech ,  5 , F , F 
 7 , Dialogue between Brendan and Moínenn ,  6 , A , A 
 7 , Fechtas aile do MLing is Toídin ,  5 , (F?) , F 
 7 , Gormlaith ingen Flain tanic ar debaid ó Cherball mac Murician ,  1 , A + T + 2 , T2 
 7 , Noenden Ulad ⁊ Emuin Macha ,  2 , U , U 
 7 , Orthanach húa Cáelláma Masu de chlaind Echdach aird , 1 , A + T + 2 , T1 (over A) 
 7 , Ri irissech ro boí do Grecaib ,  5 , F , F 
 7 , Scél mucci Meic Da Thó ,  2 , U , U 
 7 , Scéla Chonchobuir ,  2 , F , F 
 7 , Story of Athirne Ailgessach and Midir of Brí Leith ,  2 , U , U 
 7 , Talland Etair ,  2 , U , U 
 7 , Esnada tige buchet ,  5 , F , F 
 7 , Fingal Ronain ,  5 , F (+ A) , F 
 8 , A Gillu gairm n ilgrada ,  1 , T , T1
 8 , Gormlaith ingen Flain cia dír do chlérchib na cell ,  1 , A , A 
 9 , Angluind a n-echta a n-orgni batar infhir , 4 , U , U 
 9 , Ascnam ni seol sadal ,  4 , U , U 
 9 , Cind cethri ndíni iar Frigrind , 4 , U , U 
 9 , Cináed húa Artacáin Fíanna Bátar i nEmain , 1 , A , A 
 9 , Echta Lagen for Leth Cuind ,  1 , A , A 
 9 , Fland Mainistrech Ríg Themra dia tesband tnú ,  3 , U , A 
 9 , Fland Mugain ingen Chonchraid chain , 3 , U , U 
 9 , Gilla Cóemáin Hériu ard inis na rríg , 3 , A , A 
 9 , Mide magen clainne Cuind ,  4 , U , U 
 9 , Mugdorn ingen Moga Duib Conan gilla Find , 4 , A , A 
 9 , Secht mbémmend Brandub for Brega ,  1 , A , A 
 9 , Síl Aeda Sláne na sleg ,  4 , U , U 
 9 , Turim Tigi Temrach ,  1 , T , T2 
 10 , A Chormaic coisc do maicni ,  3 , U , U 
 10 , Fithal ⁊ Cormac Níba mé linfes do neoch dara thráth ,  3 , U , U 
 10 , Luid Feidilmid Rechtaid ó Themair do sáerchuaird for Laigniu ,  1 , A + T + 2 , T1 (over A) 
 10 , Na Trí Fothaid , 4 , A , A 
 10 , Trí Dé Donand , 1 , T , T1 
 11 , Brandub mac Echach ,  1 , A , A 
 11 , Fland Manistrech Inn eól dúib in senchas sen ,  3 , U , U 
 11 , Inis Dornglais ro gab Crimthann ,  4 , A , A 
 12 , Aided Cuanach meic Ailchini ,  5 , F + A , F 
 12 , Clanna Ailella Uluim uill ,  3 , U , U 
 12 , Cath Carn Chonaill ,  5 , F , F 
 12 , Cath Maige Mucrima ,  5 , F (+ S) , F + S 
 12 , Cogad Gaedel re Gallaib ,  5 , T , T2 
 12 , Cormac mac Cuilennain cecinit ,  6 , T , T1 
 12 , Cormac mac Culennain Iarfaiged nech acaib dam , 1 , T , T1 
 12 , De Chophur in da Muccida ,  5 , F , F 
 12 , De dúlib feda na fored ,  1 , T , T1 
 12 , Dindgnai Temrach ,  1 , T , T1 
 12 , Do fallsigud Tána Bó Cualnge , 5 , F , F 
 12 , Dá brón flatha nime ,  5 , F , F 
 12 , Echtra Laegaire meic Crimthainn ,  5 , F , F 
 12 , Fechtas do Mling is Tóidin co n-acca Mael Doborchon , 5 , (F?) , F 
 12 , Feidlimid athair Echach ,  1 , A(?) , A  
 12 , Iartaige na hingine colaige do Grécaib ,  5 , F , F 
 12 , Immacallam in dá Thúarad ,  4 , U , U 
 12 , Incipit Cath Ruis na Ríg ,  4 , A , A 
 12 , Incipit de maccaib Conaire ,  5 , S , S 
 12 , Longes mac nUsnig ,  5 , U (+ M) , U (+ M) 
 12 , Medb Lethderg Macc Moga Corbb celas clú ,  1 , A , A 
 12 , Mesca Ulad ,  5 , M , M 
 12 , Orgain Dind Ríg ,  5 , F , F 
 12 , Scél Niall Frossach ,  5 , F + A , A 
 12 , Slan seiss a Brigit co mbuaid ,  1 , A , A 
