 Cluster ID , Title , Volume , Scribe (Sch\-lüter) , Scribe (Dun\-can)  
 1 , Angluind a n-echta a n-orgni batar infhir , 4 , U , U 
 1 , Cind cethri ndíni iar Frigrind , 4 , U , U 
 1 , Cináed húa Artacáin Fíanna Bátar i nEmain , 1 , A , A 
 1 , Echta Lagen for Leth Cuind , 1 , A , A 
 1 , Fland Mainistrech Ríg Themra dia tesband tnú , 3 , U , U 
 1 , Gilla Cóemáin Hériu ard inis na rríg , 3 , A + U , A
 1 , Inis Dornglais ro gab Crimthann , 4 , A , A 
 1 , Mide magen clainne Cuind , 4 , U , U 
 1 , Mugdorn ingen Moga Duib Conan gilla Find , 4 , A , A
 1 , Secht mbémmend Brandub for Brega , 1 , A , A
 1 , Síl Aeda Sláne na sleg , 4 , U , U  
 2 , Cathcharpat serda , 4 , A , A 
 2 , Dían airing , 1 , T , T1 
 2 , Fland Manistrech Cia triallaid nech aisnis , 4 , U , U 
 2 , Mael Muru Othna Can a mbunadas na nGaedel , 3 , U , U 
 2 , Túathal Techtmar ba rí Temrach , 1 , A(?) , A  
 3 , Fland Fína Ro ddet a hInis find Fáil , 1 , A , A
 3 , Trí Fothaid Elgga cen chron , 3 , U , U 
 4 , Cethri srotha déc éicsi , 1 , T , T1 
 4 , Cormac mac Cuilennain cecinit , 6 , T , T1 
 4 , De dúlib feda na fored , 1 , T , T1  
 5 , Cellach Húa Rúanada sluindfet dúib dagaisti in dana , 1 , T , T1 
 5 , Dubthach hua Lugair Andsu immarbáig ri Lagnib , 1 , A , A 
 5 , Gormlaith ingen Flain tanic ar debaid ó Cherball mac Murician , 1 , A + T + 2 , T2  
 6 , Teist Chathail meic Finguine , 3 , U , U 
 7 , Column Cille cecinit , 6 , A , A
 7 , Táin Bó Cúalnge , 2 , T (+ F) , T1 + F  
 8 , Audacht Moraind , 6 , A , A 
 8 , Fiacail Patric , 6 , A , A 
 8 , Fochond Loingse Fergusa meic Roig , 5 , F , F
 8 , Gilla Cóemáin attá sund forba fessa ,  3 , U , U 
 8 , Macclerech do muntir Ferna móire , 5 , (F?) , F 
 8 , Maiccni Echach ard a ṅgle , 3 , U , U 
 8 , Rig Themra toebaige iar tain , 3 , U , U
 8 , Sarbili anim Mo Ninni , 6 , A , A 
 8 , Scrín Adomnáin , 6 , A , A 
 8 , Senbriathra Fithail , 6 , A , A 
 8 , Tecosca Cormaic , 6 , A , A 
 8 , Trea ropo maith in ben , 6 , A , A 
 8 , Táin Bó Flidais ,  5 , F , F 
 8 , Étsecht Luin Garad , 6 , A , A  
 9 , A Gillu gairm n ilgrada , 1 , T , T1
 9 , Clanna Ailella Uluim uill , 3 , U , U 
 9 , Orthanach húa Cáelláma Masu de chlaind Echdach aird , 1 , A + T + 2 , T1 (over A) 
 9 , Úar in lathe do Lum Luine , 3 , U , U 
 10 , Cethrur macclerech , 5 , F , F
 10 , Story of Athirne Ailgessach and Midir of Brí Leith , 2 , U , U  
 11 , Fland Fina in rigan ecanaid óg fíal , 3 , U , A + U 
 12 , Aided Choncobuir , 2 , U , U 
 12 , Aided Cuanach meic Ailchini ,  5 , F + A , F 
 12 , Aided Derb Forgaill , 2 , U , U 
 12 , Aided Meidbe , 2 , U , U
 12 , De Gabail intSida , 5 , F , F
 12 , Dindgnai Temrach , 1 , T , T1
 12 , Dá brón flatha nime , 5 , F , F
 12 , Fechtas aile do MLing is Toídin , 5 , (F?) , F
