frequency, function_word
5052,a
4211,in
2827,co
2550,i
2419,do
2367,na
1370,ar
1035,and
991,for
941,sin
555,cen
551,iar
539,cach
538,mo
534,ind
534,de
521,la
500,dia
490,im
465,fri
433,ra
415,acht
411,dano
370,cech
363,ro
349,o
318,dar
307,no
298,ina
289,oc
282,da
276,fo
269,ib
263,iarum
257,sain
255,b
245,don
227,se
222,ic
212,di
204,ed
201,sa
195,ara
191,cona
189,ac
186,nach
185,leis
183,ch
176,coro
168,issin
168,aile
164,eter
157,ocus
157,fora
148,uile
146,duit
144,ni
143,go
142,so
138,isin
134,inn
132,dam
131,as
127,n
126,nech
120,sund
114,dond
114,ass
110,cia
104,fria
102,assa
100,fris
95,s
94,leo
90,dom
89,ri
89,cu
87,si
87,inna
85,re
85,acus
81,lim
81,damsa
75,forsin
74,dara
71,dochum
69,din
67,dona
65,sech
64,imma
63,imme
62,oca
62,latt
61,r
60,forro
59,noco
59,iarna
59,eturru
57,os
56,uili
56,ma
56,iat
55,som
54,itir
54,cosin
53,conid
53,assin
52,seo
52,friu
52,fort
50,arin
49,mani
49,immi
48,ad
47,inti
47,hi
47,arna
46,gan
45,frisin
45,forin
45,fair
43,mar
42,issind
42,impu
42,an
41,limsa
41,lat
41,forru
41,asa
40,friss
39,cacha
38,siu
38,reme
37,leiss
37,isind
37,e
37,cid
36,fon
36,far
35,tussu
35,missi
35,etir
35,dib
32,risin
32,ria
32,lasin
32,fa
31,sium
31,side
31,d
31,aice
30,frim
30,form
30,at
29,rempu
28,sein
27,mad
26,lem
26,isna
26,indiu
26,fessin
26,can
25,is
25,coa
24,limm
24,lib
24,goro
23,tria
23,on
23,m
23,ica
23,hed
23,furri
23,forsna
23,doib
23,cecha
22,imbi
21,su
21,rempo
21,nad
20,sisi
20,nocho
20,fadessin
20,didiu
20,ca
19,tar
19,immorro
19,chucu
19,ait
18,riss
18,ond
18,messe
18,frit
18,fein
17,uadib
17,c
17,am
17,adib
16,neoch
16,impe
16,forsa
16,aim
15,uait
15,tra
15,riam
15,nocon
15,me
15,issa
15,int
15,immar
15,duib
15,assind
14,or
14,meni
14,forna
14,dina
13,t
13,lais
13,accu
12,seseom
12,secht
12,mmo
12,lemsa
12,lemm
12,forsind
12,ann
11,ocon
11,immon
11,frisna
11,frie
11,etar
11,cenco
11,asin
11,ain
10,uli
10,impi
10,formsa
10,foa
10,dosom
10,desin
10,cossin
10,chucum
10,cath
9,secha
9,isa
9,imm
9,frimsa
9,etera
9,darin
9,cucu
9,con
9,chuccu
9,andside
9,air
9,aib
9,acum
8,tu
8,nacha
8,messu
8,iarsin
8,forind
8,fodessin
8,conna
8,ba
8,aca
7,riu
7,ris
7,nar
7,lett
7,lesseom
7,latsu
7,imda
7,gen
7,gach
7,cuccu
7,cosna
7,chach
7,assu
7,asna
7,andsin
6,uad
6,tri
6,sea
6,rod
6,risna
6,occu
6,messi
6,leosom
6,lassin
6,lasna
6,innisin
6,imbe
6,ima
6,firu
6,eturro
6,eside
6,darsin
6,cusin
6,chuice
6,chuce
6,bar
6,ana
6,ag
5,sna
5,sind
5,sechna
5,rompu
5,rompo
5,ort
5,ora
5,ona
5,nucu
5,misse
5,let
5,less
5,leosum
5,imna
5,immo
5,he
5,gona
5,duitsiu
5,du
5,dind
5,deside
5,den
5,cussin
5,chuci
5,bara
5,aili
5,ach
4,uaib
4,tresin
4,tre
4,tarsin
4,sum
